Taxon,Area,MNI,Layer
Primate,3-N5E39,3,1
Artiodactyla,3-N5E39,6,1
Perissodactyla,3-N5E39,0,1
Testudinata,3-N5E39,0,1
Cyprinidae,3-N5E39,1,1
Primate,3-N5E39,2,2
Artiodactyla,3-N5E39,5,2
Perissodactyla,3-N5E39,0,2
Testudinata,3-N5E39,1,2
Cyprinidae,3-N5E39,1,2
Primate,3-N5E39,23,3(4)
Artiodactyla,3-N5E39,11,3(4)
Perissodactyla,3-N5E39,1,3(4)
Testudinata,3-N5E39,1,3(4)
Cyprinidae,3-N5E39,9,3(4)
Primate,3-N5E39,15,5
Artiodactyla,3-N5E39,11,5
Perissodactyla,3-N5E39,1,5
Testudinata,3-N5E39,1,5
Cyprinidae,3-N5E39,4,5
Primate,3-N5E39,3,6
Artiodactyla,3-N5E39,6,6
Perissodactyla,3-N5E39,0,6
Testudinata,3-N5E39,1,6
Cyprinidae,3-N5E39,0,6
Primate,3-N5E39,1,7
Artiodactyla,3-N5E39,0,7
Perissodactyla,3-N5E39,0,7
Testudinata,3-N5E39,0,7
Cyprinidae,3-N5E39,0,7
