Taxon,Area,NISP,Layer
Primate,S1E4,0,1
Artiodactyla,S1E4,8,1
Testudinata,S1E4,6,1
Cyprinidae,S1E4,0,1
Primate,S1E4,4,2
Artiodactyla,S1E4,22,2
Testudinata,S1E4,8,2
Cyprinidae,S1E4,0,2
Primate,S1E4,0,3
Artiodactyla,S1E4,20,3
Testudinata,S1E4,3,3
Cyprinidae,S1E4,0,3
Primate,S1E4,1,4
Artiodactyla,S1E4,15,4
Testudinata,S1E4,4,4
Cyprinidae,S1E4,0,4
Primate,S1E4,0,6(7)
Artiodactyla,S1E4,2,6(7)
Testudinata,S1E4,1,6(7)
Cyprinidae,S1E4,0,6(7)
Primate,S2E12,0,1
Artiodactyla,S2E12,5,1
Testudinata,S2E12,2,1
Cyprinidae,S2E12,0,1
Primate,S2E12,0,2
Artiodactyla,S2E12,4,2
Testudinata,S2E12,8,2
Cyprinidae,S2E12,0,2
Primate,S2E12,2,3
Artiodactyla,S2E12,21,3
Testudinata,S2E12,14,3
Cyprinidae,S2E12,1,3
Primate,S2E12,0,4
Artiodactyla,S2E12,2,4
Testudinata,S2E12,6,4
Cyprinidae,S2E12,1,4
Primate,S2E12,0,5
Artiodactyla,S2E12,0,5
Testudinata,S2E12,0,5
Cyprinidae,S2E12,0,5
Primate,S2E12,0,8
Artiodactyla,S2E12,0,8
Testudinata,S2E12,0,8
Cyprinidae,S2E12,0,8
